DBClusterIdentifier	Endpoint	Status	EndpointType
vis20-na-prod	vis20-na-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
vis20-na-prod	vis20-na-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
client-id-prod	client-id-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
client-id-prod	client-id-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-001-prod	my-noncore-us-001-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-001-prod	my-noncore-us-001-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
pwa-copy-prod	pwa-copy-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
pwa-copy-prod	pwa-copy-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
vis-prod	vis-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
vis-prod	vis-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
pricing-prod	pricing-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
pricing-prod	pricing-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
pwa-prod	pwa-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
pwa-prod	pwa-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
fraud-arbiter-prod	fraud-arbiter-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
fraud-arbiter-prod	fraud-arbiter-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
expy-service	expy-service.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
expy-service	expy-service.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
testrail-prod	testrail-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
testrail-prod	testrail-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
getaways-maris-prod	getaways-maris-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
getaways-maris-prod	getaways-maris-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
booking-notify-prod	booking-notify-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
booking-notify-prod	booking-notify-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
glive-gia-prod-prod	glive-gia-prod-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
glive-gia-prod-prod	glive-gia-prod-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-004-prod	my-noncore-us-004-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-004-prod	my-noncore-us-004-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-002-prod	my-noncore-us-002-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-002-prod	my-noncore-us-002-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-003-prod	my-noncore-us-003-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-003-prod	my-noncore-us-003-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
glive-inventory-prod	glive-inventory-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
glive-inventory-prod	glive-inventory-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
getaways-geo-prod	getaways-geo-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
getaways-geo-prod	getaways-geo-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
service-portal-prod	service-portal-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
service-portal-prod	service-portal-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
booking-appointment-prod	booking-appointment-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
booking-appointment-prod	booking-appointment-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
booking-avail-prod	booking-avail-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
booking-avail-prod	booking-avail-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
card-purge-batch-prod	card-purge-batch-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
card-purge-batch-prod	card-purge-batch-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
getaways-content-prod	getaways-content-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
getaways-content-prod	getaways-content-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
opt-knowledge-prod	opt-knowledge-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
opt-knowledge-prod	opt-knowledge-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
goods-ob-control-prod	goods-ob-control-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
goods-ob-control-prod	goods-ob-control-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cerebro2oozie-prod	cerebro2oozie-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cerebro2oozie-prod	cerebro2oozie-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
goods-stores-prod	goods-stores-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
goods-stores-prod	goods-stores-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cscs-prod	cscs-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cscs-prod	cscs-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cyclops-prod	cyclops-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cyclops-prod	cyclops-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cerebro2-hue-prod	cerebro2-hue-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cerebro2-hue-prod	cerebro2-hue-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
merchant-wallet-prod	merchant-wallet-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
merchant-wallet-prod	merchant-wallet-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
birdcage-prod	birdcage-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
birdcage-prod	birdcage-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
be-3rd-party-prod	be-3rd-party-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
be-3rd-party-prod	be-3rd-party-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
gdoop-hue-prod	gdoop-hue-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
gdoop-hue-prod	gdoop-hue-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
orders-service-prod	orders-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
orders-service-prod	orders-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
login-prod	login-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
login-prod	login-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
travel-search-prod	travel-search-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
travel-search-prod	travel-search-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
dealestate-prod	dealestate-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
dealestate-prod	dealestate-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
tronicon-cms-prod	tronicon-cms-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
tronicon-cms-prod	tronicon-cms-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
rocketman-v2-n-prod	rocketman-v2-n-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
rocketman-v2-n-prod	rocketman-v2-n-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
megatron-prod	megatron-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
megatron-prod	megatron-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cerebro-ranger-prod	cerebro-ranger-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cerebro-ranger-prod	cerebro-ranger-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ranger-prod	ranger-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ranger-prod	ranger-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hive-sac1-prod	hive-sac1-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
hive-sac1-prod	hive-sac1-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
command-center-prod	command-center-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
command-center-prod	command-center-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
booking-tool-prod	booking-tool-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
booking-tool-prod	booking-tool-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cmi-travelclick-prod	cmi-travelclick-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cmi-travelclick-prod	cmi-travelclick-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-va-travel-prod	ls-va-travel-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-va-travel-prod	ls-va-travel-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-va-users-prod	ls-va-users-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-va-users-prod	ls-va-users-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cerebro2-hive-prod	cerebro2-hive-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cerebro2-hive-prod	cerebro2-hive-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
gdoop-oozie-prod	gdoop-oozie-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
gdoop-oozie-prod	gdoop-oozie-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-sf-backup-prod	ls-sf-backup-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-sf-backup-prod	ls-sf-backup-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
crm-message-prod	crm-message-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
crm-message-prod	crm-message-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
birdcage-dw-prod	birdcage-dw-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
birdcage-dw-prod	birdcage-dw-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-va-orders-prod	ls-va-orders-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-va-orders-prod	ls-va-orders-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ls-va-subscript-prod	ls-va-subscript-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ls-va-subscript-prod	ls-va-subscript-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
fingerprint-prod	fingerprint-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
fingerprint-prod	fingerprint-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
giftcard-prod	giftcard-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
giftcard-prod	giftcard-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hive-sox-prod	hive-sox-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
hive-sox-prod	hive-sox-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
succ-prod	succ-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
succ-prod	succ-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
oozie-sac1-prod	oozie-sac1-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
oozie-sac1-prod	oozie-sac1-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hive-sac1-sox-prod	hive-sac1-sox-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ad-inv-serv-prod	ad-inv-serv-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ad-inv-serv-prod	ad-inv-serv-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
analytics-prod	analytics-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
analytics-prod	analytics-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hive-sac1-sox-prod	hive-sac1-sox-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
rocketmanv2-prod	rocketmanv2-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
rocketmanv2-prod	rocketmanv2-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
voucher-ssearch-prod	voucher-ssearch-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
voucher-ssearch-prod	voucher-ssearch-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
hue-sac1-prod	hue-sac1-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
hue-sac1-prod	hue-sac1-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ranger-sac1-prod	ranger-sac1-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ranger-sac1-prod	ranger-sac1-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
glive-3rd-party-prod	glive-3rd-party-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
glive-3rd-party-prod	glive-3rd-party-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
rocketmanv2-trans-prod	rocketmanv2-trans-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
rocketmanv2-trans-prod	rocketmanv2-trans-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
coupon-prod	coupon-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
coupon-prod	coupon-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
affiliateprograms-prod	affiliateprograms-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
affiliateprograms-prod	affiliateprograms-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
goods-jobsch-prod	goods-jobsch-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
goods-jobsch-prod	goods-jobsch-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
goods-cart-svc-prod	goods-cart-svc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
goods-cart-svc-prod	goods-cart-svc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
coupons-prod	coupons-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
coupons-prod	coupons-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
iamsam-prod	iamsam-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
iamsam-prod	iamsam-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
message2ledger-prod	message2ledger-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
message2ledger-prod	message2ledger-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-005-prod	my-noncore-us-005-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-005-prod	my-noncore-us-005-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
mm-subs-programs-prod	mm-subs-programs-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
mm-subs-programs-prod	mm-subs-programs-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
my-noncore-us-006-prod	my-noncore-us-006-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
my-noncore-us-006-prod	my-noncore-us-006-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
dealservice-prod-archive	dealservice-prod-archive.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
dealservice-prod-archive	dealservice-prod-archive.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
dealservice-prod	dealservice-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
dealservice-prod	dealservice-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ad-inv-serv-archive-prod	ad-inv-serv-archive-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ad-inv-serv-archive-prod	ad-inv-serv-archive-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
aflrta-prod	aflrta-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
aflrta-prod	aflrta-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
ultron-prod	ultron-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
ultron-prod	ultron-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
editorial	editorial.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
editorial	editorial.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
cons-data-svc-prod	cons-data-svc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	WRITER
cons-data-svc-prod	cons-data-svc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com	available	READER
