attributes.databaseEngine,attributes.deploymentOption,attributes.usagetype,attributes.regionCode,attributes.instanceType,attributes.instanceFamily,attributes.vcpu,attributes.clockSpeed,attributes.physicalProcessor,attributes.memory,attributes.storage,attributes.networkPerformance,attributes.processorArchitecture,attributes.databaseEdition,attributes.licenseModel,attributes.instanceTypeFamily,attributes.normalizationSizeFactor,attributes.dedicatedEbsThroughput,attributes.enhancedNetworkingSupported,attributes.processorFeatures,pricePerUnit
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.2xl,us-west-1,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,1.1460000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r5.xl,us-west-1,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.6400000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6g.12xl,us-west-1,db.m6g.12xlarge,General purpose,48,,AWS Graviton2,192 GiB,EBS Only,12 gigabit,64-bit,,No license required,M6G,96,,,,4.1600000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6i.8xl,us-west-1,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,64,,,,3.2480000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r5.xl,us-west-1,db.r5.xlarge,Memory optimized,4,Up to 3.1 GHz,Intel Xeon Platinum 8175,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,8,Up to 3500 Mbps,Yes,,0.5300000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m5.16xl,us-west-1,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,128,,,,6.2400000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m5.large,us-west-1,db.m5.large,General purpose,2,2.5 GHz,Intel Xeon Platinum 8175,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,4,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.2030000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.t4g.medium,us-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1710000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.8xl,us-west-1,db.r6g.8xlarge,Memory optimized,32,,AWS Graviton2,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R6G,64,,,,3.7950000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6i.32xl,us-west-1,db.m6i.32xlarge,General purpose,128,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,50 Gbps,x86,,No license required,M6i,256,,,,12.4800000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.4xl,us-west-1,db.r5.4xlarge,Memory optimized,16,Up to 3.1 GHz,Intel Xeon Platinum 8175,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,64,3500 Mbps,Yes,,4.2400000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t3.large,us-west-1,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,4,,,,0.1900000000
