r53_Name,r53_ResourceRecordsValue
gds-accounting-prod-ro.prod.us-west-1.aws.groupondev.com,accounting-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-accounting-prod-rw.prod.us-west-1.aws.groupondev.com,accounting-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ad-inv-serv-prod-ro.prod.us-west-1.aws.groupondev.com,ad-inv-serv-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ad-inv-serv-prod-rw.prod.us-west-1.aws.groupondev.com,ad-inv-serv-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ada-prod-ro.prod.us-west-1.aws.groupondev.com,ada-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ada-prod-rw.prod.us-west-1.aws.groupondev.com,ada-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-affiliate-track-prod-ro.prod.us-west-1.aws.groupondev.com,affiliate-track-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-affiliate-track-prod-rw.prod.us-west-1.aws.groupondev.com,affiliate-track-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-affiliateprograms-prod-ro.prod.us-west-1.aws.groupondev.com,affiliateprograms-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-affiliateprograms-prod-rw.prod.us-west-1.aws.groupondev.com,affiliateprograms-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sac1-prod-ro.prod.us-west-1.aws.groupondev.com,ambari-sac1-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sac1-prod-rw.prod.us-west-1.aws.groupondev.com,ambari-sac1-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sac1-sox-prod-ro.prod.us-west-1.aws.groupondev.com,ambari-sac1-sox-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sac1-sox-prod-rw.prod.us-west-1.aws.groupondev.com,ambari-sac1-sox-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sox-prod-ro.prod.us-west-1.aws.groupondev.com,ambari-sox-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-ambari-sox-prod-rw.prod.us-west-1.aws.groupondev.com,ambari-sox-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-analytics-prod-ro.prod.us-west-1.aws.groupondev.com,analytics-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-analytics-prod-rw.prod.us-west-1.aws.groupondev.com,analytics-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-arbitration-service-prod-ro.prod.us-west-1.aws.groupondev.com,arbitration-service-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-arbitration-service-prod-ro.prod.us-west-1.aws.groupondev.com,arbitration-service-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com
