aws_region_code,aws_region_name,year_of_launch
us-east-1,US East (N. Virginia),2006
us-east-2,US East (Ohio),2016
us-west-1,US West (N. California),2009
us-west-2,US West (Oregon),2011
ca-central-1,Canada (Central),2016
eu-north-1,EU (Stockholm),2018
eu-west-3,EU (Paris),2017
eu-west-2,EU (London),2016
eu-west-1,EU (Ireland),2007
eu-central-1,EU (Frankfurt),2014
ap-south-1,Asia Pacific (Mumbai),2016
ap-northeast-1,Asia Pacific (Tokyo),2011
ap-northeast-2,Asia Pacific (Seoul),2016
ap-northeast-3,Asia Pacific (Osaka-Local),2018
ap-southeast-1,Asia Pacific (Singapore),2010
ap-southeast-2,Asia Pacific (Sydney),2012
sa-east-1,South America (São Paulo),2011
cn-north-1,China (Beijing),2014
cn-northwest-1,China (Ningxia),2017
us-gov-east-1,GovCloud (US-East),2018
us-gov-west-1,GovCloud (US-West),2011
af-south-1,Africa (Cape Town),2020
ap-east-1,Asia Pacific (Hong Kong),2019
eu-south-1,EU (Milan),2020
me-south-1,Middle East (Bahrain),2019
