InstanceConfig,Price_With_rep($/Month)
1 x cache.t4g.micro,24.48
1 x cache.t2.micro,25.919999999999995
1 x cache.t3.micro,25.919999999999995
1 x cache.t4g.small,48.96
2 x cache.t4g.micro,48.96
1 x cache.t2.small,51.83999999999999
1 x cache.t3.small,51.83999999999999
2 x cache.t2.micro,51.83999999999999
2 x cache.t3.micro,51.83999999999999
3 x cache.t4g.micro,73.44000000000001
3 x cache.t2.micro,77.75999999999999
3 x cache.t3.micro,77.75999999999999
1 x cache.m5.large,93.60000000000001
1 x cache.t4g.medium,97.92
2 x cache.t4g.small,97.92
4 x cache.t4g.micro,97.92
1 x cache.t3.medium,103.67999999999998
2 x cache.t2.small,103.67999999999998
2 x cache.t3.small,103.67999999999998
4 x cache.t2.micro,103.67999999999998
4 x cache.t3.micro,103.67999999999998
1 x cache.t2.medium,105.11999999999999
5 x cache.t4g.micro,122.4
5 x cache.t2.micro,129.60000000000002
5 x cache.t3.micro,129.60000000000002
1 x cache.r5.large,144.00000000000003
3 x cache.t4g.small,146.88000000000002
6 x cache.t4g.micro,146.88000000000002
3 x cache.t2.small,155.51999999999998
3 x cache.t3.small,155.51999999999998
6 x cache.t2.micro,155.51999999999998
6 x cache.t3.micro,155.51999999999998
7 x cache.t4g.micro,171.36
7 x cache.t2.micro,181.44
7 x cache.t3.micro,181.44
1 x cache.m5.xlarge,185.76
2 x cache.m5.large,187.20000000000002
2 x cache.t4g.medium,195.84
4 x cache.t4g.small,195.84
8 x cache.t4g.micro,195.84
2 x cache.t3.medium,207.35999999999996
4 x cache.t2.small,207.35999999999996
4 x cache.t3.small,207.35999999999996
8 x cache.t2.micro,207.35999999999996
8 x cache.t3.micro,207.35999999999996
2 x cache.t2.medium,210.23999999999998
9 x cache.t4g.micro,220.32000000000005
9 x cache.t2.micro,233.27999999999997
9 x cache.t3.micro,233.27999999999997
1 x cache.m6g.large,236.16
5 x cache.t4g.small,244.8
10 x cache.t4g.micro,244.8
1 x cache.m5.large,247.68
1 x cache.m4.large,247.68
5 x cache.t2.small,259.20000000000005
5 x cache.t3.small,259.20000000000005
10 x cache.t2.micro,259.20000000000005
10 x cache.t3.micro,259.20000000000005
11 x cache.t4g.micro,269.28
3 x cache.m5.large,280.79999999999995
11 x cache.t2.micro,285.12
11 x cache.t3.micro,285.12
1 x cache.r5.xlarge,285.12000000000006
2 x cache.r5.large,288.00000000000006
3 x cache.t4g.medium,293.76000000000005
6 x cache.t4g.small,293.76000000000005
12 x cache.t4g.micro,293.76000000000005
3 x cache.t3.medium,311.03999999999996
6 x cache.t2.small,311.03999999999996
6 x cache.t3.small,311.03999999999996
12 x cache.t2.micro,311.03999999999996
12 x cache.t3.micro,311.03999999999996
3 x cache.t2.medium,315.35999999999996
13 x cache.t4g.micro,318.24
1 x cache.r6g.large,329.76000000000005
13 x cache.t2.micro,336.96
13 x cache.t3.micro,336.96
7 x cache.t4g.small,342.72
14 x cache.t4g.micro,342.72
1 x cache.r5.large,347.03999999999996
7 x cache.t2.small,362.88
7 x cache.t3.small,362.88
14 x cache.t2.micro,362.88
14 x cache.t3.micro,362.88
1 x cache.r4.large,365.76
15 x cache.t4g.micro,367.2
1 x cache.m5.2xlarge,371.52
2 x cache.m5.xlarge,371.52
4 x cache.m5.large,374.40000000000003
15 x cache.t2.micro,388.7999999999999
15 x cache.t3.micro,388.7999999999999
4 x cache.t4g.medium,391.68
8 x cache.t4g.small,391.68
16 x cache.t4g.micro,391.68
4 x cache.t3.medium,414.7199999999999
8 x cache.t2.small,414.7199999999999
8 x cache.t3.small,414.7199999999999
16 x cache.t2.micro,414.7199999999999
16 x cache.t3.micro,414.7199999999999
17 x cache.t4g.micro,416.16
4 x cache.t2.medium,420.47999999999996
3 x cache.r5.large,432.00000000000006
17 x cache.t2.micro,440.64
17 x cache.t3.micro,440.64
9 x cache.t4g.small,440.6400000000001
18 x cache.t4g.micro,440.6400000000001
19 x cache.t4g.micro,465.12000000000006
9 x cache.t2.small,466.55999999999995
9 x cache.t3.small,466.55999999999995
18 x cache.t2.micro,466.55999999999995
18 x cache.t3.micro,466.55999999999995
5 x cache.m5.large,468.00000000000006
1 x cache.m6g.xlarge,470.88000000000005
2 x cache.m6g.large,472.32
5 x cache.t4g.medium,489.6
10 x cache.t4g.small,489.6
20 x cache.t4g.micro,489.6
19 x cache.t2.micro,492.4799999999999
19 x cache.t3.micro,492.4799999999999
1 x cache.m5.xlarge,493.9200000000001
1 x cache.m4.xlarge,493.9200000000001
2 x cache.m5.large,495.36
2 x cache.m4.large,495.36
21 x cache.t4g.micro,514.08
5 x cache.t3.medium,518.4000000000001
10 x cache.t2.small,518.4000000000001
10 x cache.t3.small,518.4000000000001
20 x cache.t2.micro,518.4000000000001
20 x cache.t3.micro,518.4000000000001
5 x cache.t2.medium,525.6
11 x cache.t4g.small,538.56
22 x cache.t4g.micro,538.56
21 x cache.t2.micro,544.3199999999999
21 x cache.t3.micro,544.3199999999999
3 x cache.m5.xlarge,557.28
6 x cache.m5.large,561.5999999999999
23 x cache.t4g.micro,563.04
11 x cache.t2.small,570.24
11 x cache.t3.small,570.24
22 x cache.t2.micro,570.24
22 x cache.t3.micro,570.24
2 x cache.r5.xlarge,570.2400000000001
1 x cache.r5.2xlarge,571.6800000000001
4 x cache.r5.large,576.0000000000001
6 x cache.t4g.medium,587.5200000000001
12 x cache.t4g.small,587.5200000000001
24 x cache.t4g.micro,587.5200000000001
23 x cache.t2.micro,596.16
23 x cache.t3.micro,596.16
25 x cache.t4g.micro,612.0000000000001
6 x cache.t3.medium,622.0799999999999
12 x cache.t2.small,622.0799999999999
12 x cache.t3.small,622.0799999999999
24 x cache.t2.micro,622.0799999999999
24 x cache.t3.micro,622.0799999999999
6 x cache.t2.medium,630.7199999999999
13 x cache.t4g.small,636.48
26 x cache.t4g.micro,636.48
25 x cache.t2.micro,647.9999999999999
25 x cache.t3.micro,647.9999999999999
7 x cache.m5.large,655.2
1 x cache.r6g.xlarge,659.5200000000001
2 x cache.r6g.large,659.5200000000001
27 x cache.t4g.micro,660.96
13 x cache.t2.small,673.92
13 x cache.t3.small,673.92
26 x cache.t2.micro,673.92
26 x cache.t3.micro,673.92
7 x cache.t4g.medium,685.44
14 x cache.t4g.small,685.44
28 x cache.t4g.micro,685.44
1 x cache.r5.xlarge,691.1999999999999
2 x cache.r5.large,694.0799999999999
27 x cache.t2.micro,699.84
27 x cache.t3.micro,699.84
3 x cache.m6g.large,708.48
29 x cache.t4g.micro,709.9200000000001
5 x cache.r5.large,720.0
7 x cache.t3.medium,725.76
14 x cache.t2.small,725.76
14 x cache.t3.small,725.76
28 x cache.t2.micro,725.76
28 x cache.t3.micro,725.76
1 x cache.r4.xlarge,730.0799999999999
2 x cache.r4.large,731.52
15 x cache.t4g.small,734.4
30 x cache.t4g.micro,734.4
7 x cache.t2.medium,735.8399999999999
2 x cache.m5.2xlarge,743.04
3 x cache.m5.large,743.04
3 x cache.m4.large,743.04
4 x cache.m5.xlarge,743.04
1 x cache.m5.4xlarge,744.48
8 x cache.m5.large,748.8000000000001
29 x cache.t2.micro,751.68
29 x cache.t3.micro,751.68
31 x cache.t4g.micro,758.88
15 x cache.t2.small,777.5999999999998
15 x cache.t3.small,777.5999999999998
30 x cache.t2.micro,777.5999999999998
30 x cache.t3.micro,777.5999999999998
8 x cache.t4g.medium,783.36
16 x cache.t4g.small,783.36
32 x cache.t4g.micro,783.36
31 x cache.t2.micro,803.52
31 x cache.t3.micro,803.52
33 x cache.t4g.micro,807.8400000000001
8 x cache.t3.medium,829.4399999999998
16 x cache.t2.small,829.4399999999998
16 x cache.t3.small,829.4399999999998
32 x cache.t2.micro,829.4399999999998
32 x cache.t3.micro,829.4399999999998
17 x cache.t4g.small,832.32
34 x cache.t4g.micro,832.32
8 x cache.t2.medium,840.9599999999999
9 x cache.m5.large,842.4
33 x cache.t2.micro,855.36
33 x cache.t3.micro,855.36
3 x cache.r5.xlarge,855.3600000000001
35 x cache.t4g.micro,856.8000000000001
6 x cache.r5.large,864.0000000000001
17 x cache.t2.small,881.28
17 x cache.t3.small,881.28
34 x cache.t2.micro,881.28
34 x cache.t3.micro,881.28
9 x cache.t4g.medium,881.2800000000002
18 x cache.t4g.small,881.2800000000002
36 x cache.t4g.micro,881.2800000000002
