InstanceConfig,Price_With_rep($/Month)
1 x cache.t4g.micro,30.240000000000002
1 x cache.t2.micro,31.68
1 x cache.t3.micro,31.68
1 x cache.t4g.small,60.480000000000004
2 x cache.t4g.micro,60.480000000000004
1 x cache.t2.small,63.36
1 x cache.t3.small,63.36
2 x cache.t2.micro,63.36
2 x cache.t3.micro,63.36
3 x cache.t4g.micro,90.72
3 x cache.t2.micro,95.04
3 x cache.t3.micro,95.04
1 x cache.m5.large,100.80000000000001
1 x cache.t4g.medium,120.96000000000001
2 x cache.t4g.small,120.96000000000001
4 x cache.t4g.micro,120.96000000000001
1 x cache.t3.medium,126.72
1 x cache.t2.medium,126.72
2 x cache.t2.small,126.72
2 x cache.t3.small,126.72
4 x cache.t2.micro,126.72
4 x cache.t3.micro,126.72
1 x cache.r5.large,145.44000000000003
5 x cache.t4g.micro,151.20000000000002
5 x cache.t2.micro,158.39999999999998
5 x cache.t3.micro,158.39999999999998
3 x cache.t4g.small,181.44
6 x cache.t4g.micro,181.44
3 x cache.t2.small,190.08
3 x cache.t3.small,190.08
6 x cache.t2.micro,190.08
6 x cache.t3.micro,190.08
1 x cache.m5.xlarge,200.16000000000003
2 x cache.m5.large,201.60000000000002
7 x cache.t4g.micro,211.68000000000004
1 x cache.m6g.large,214.55999999999997
7 x cache.t2.micro,221.76
7 x cache.t3.micro,221.76
2 x cache.t4g.medium,241.92000000000002
4 x cache.t4g.small,241.92000000000002
8 x cache.t4g.micro,241.92000000000002
2 x cache.t3.medium,253.44
2 x cache.t2.medium,253.44
4 x cache.t2.small,253.44
4 x cache.t3.small,253.44
8 x cache.t2.micro,253.44
8 x cache.t3.micro,253.44
1 x cache.m5.large,262.08000000000004
1 x cache.m4.large,262.08000000000004
9 x cache.t4g.micro,272.15999999999997
9 x cache.t2.micro,285.12
9 x cache.t3.micro,285.12
1 x cache.r5.xlarge,288.00000000000006
2 x cache.r5.large,290.88000000000005
1 x cache.r6g.large,296.64
3 x cache.m5.large,302.40000000000003
5 x cache.t4g.small,302.40000000000003
10 x cache.t4g.micro,302.40000000000003
5 x cache.t2.small,316.79999999999995
5 x cache.t3.small,316.79999999999995
10 x cache.t2.micro,316.79999999999995
10 x cache.t3.micro,316.79999999999995
11 x cache.t4g.micro,332.64000000000004
1 x cache.r5.large,347.03999999999996
11 x cache.t2.micro,348.48
11 x cache.t3.micro,348.48
3 x cache.t4g.medium,362.88
6 x cache.t4g.small,362.88
12 x cache.t4g.micro,362.88
1 x cache.r4.large,365.76
3 x cache.t3.medium,380.16
3 x cache.t2.medium,380.16
6 x cache.t2.small,380.16
6 x cache.t3.small,380.16
12 x cache.t2.micro,380.16
12 x cache.t3.micro,380.16
13 x cache.t4g.micro,393.12
2 x cache.m5.xlarge,400.32000000000005
1 x cache.m5.2xlarge,401.76000000000005
4 x cache.m5.large,403.20000000000005
13 x cache.t2.micro,411.8399999999999
13 x cache.t3.micro,411.8399999999999
7 x cache.t4g.small,423.36000000000007
14 x cache.t4g.micro,423.36000000000007
1 x cache.m6g.xlarge,427.68
2 x cache.m6g.large,429.11999999999995
3 x cache.r5.large,436.32000000000005
7 x cache.t2.small,443.52
7 x cache.t3.small,443.52
14 x cache.t2.micro,443.52
14 x cache.t3.micro,443.52
15 x cache.t4g.micro,453.6
15 x cache.t2.micro,475.19999999999993
15 x cache.t3.micro,475.19999999999993
4 x cache.t4g.medium,483.84000000000003
8 x cache.t4g.small,483.84000000000003
16 x cache.t4g.micro,483.84000000000003
5 x cache.m5.large,504.0
4 x cache.t3.medium,506.88
4 x cache.t2.medium,506.88
8 x cache.t2.small,506.88
8 x cache.t3.small,506.88
16 x cache.t2.micro,506.88
16 x cache.t3.micro,506.88
17 x cache.t4g.micro,514.08
1 x cache.m4.xlarge,522.72
1 x cache.m5.xlarge,522.72
2 x cache.m5.large,524.1600000000001
2 x cache.m4.large,524.1600000000001
17 x cache.t2.micro,538.56
17 x cache.t3.micro,538.56
9 x cache.t4g.small,544.3199999999999
18 x cache.t4g.micro,544.3199999999999
9 x cache.t2.small,570.24
9 x cache.t3.small,570.24
18 x cache.t2.micro,570.24
18 x cache.t3.micro,570.24
19 x cache.t4g.micro,574.5600000000001
2 x cache.r5.xlarge,576.0000000000001
1 x cache.r5.2xlarge,577.44
4 x cache.r5.large,581.7600000000001
1 x cache.r6g.xlarge,591.8399999999999
2 x cache.r6g.large,593.28
3 x cache.m5.xlarge,600.48
19 x cache.t2.micro,601.92
19 x cache.t3.micro,601.92
5 x cache.t4g.medium,604.8000000000001
6 x cache.m5.large,604.8000000000001
10 x cache.t4g.small,604.8000000000001
20 x cache.t4g.micro,604.8000000000001
5 x cache.t3.medium,633.5999999999999
5 x cache.t2.medium,633.5999999999999
10 x cache.t2.small,633.5999999999999
10 x cache.t3.small,633.5999999999999
20 x cache.t2.micro,633.5999999999999
20 x cache.t3.micro,633.5999999999999
21 x cache.t4g.micro,635.04
3 x cache.m6g.large,643.6799999999998
21 x cache.t2.micro,665.28
21 x cache.t3.micro,665.28
11 x cache.t4g.small,665.2800000000001
22 x cache.t4g.micro,665.2800000000001
1 x cache.r5.xlarge,691.1999999999999
2 x cache.r5.large,694.0799999999999
23 x cache.t4g.micro,695.52
11 x cache.t2.small,696.96
11 x cache.t3.small,696.96
22 x cache.t2.micro,696.96
22 x cache.t3.micro,696.96
7 x cache.m5.large,705.6000000000001
6 x cache.t4g.medium,725.76
12 x cache.t4g.small,725.76
24 x cache.t4g.micro,725.76
5 x cache.r5.large,727.2
23 x cache.t2.micro,728.64
23 x cache.t3.micro,728.64
1 x cache.r4.xlarge,730.0799999999999
2 x cache.r4.large,731.52
25 x cache.t4g.micro,756.0000000000001
6 x cache.t3.medium,760.32
6 x cache.t2.medium,760.32
12 x cache.t2.small,760.32
12 x cache.t3.small,760.32
24 x cache.t2.micro,760.32
24 x cache.t3.micro,760.32
3 x cache.m5.large,786.24
3 x cache.m4.large,786.24
13 x cache.t4g.small,786.24
26 x cache.t4g.micro,786.24
25 x cache.t2.micro,792.0
25 x cache.t3.micro,792.0
1 x cache.m5.4xlarge,800.6400000000001
4 x cache.m5.xlarge,800.6400000000001
2 x cache.m5.2xlarge,803.5200000000001
8 x cache.m5.large,806.4000000000001
27 x cache.t4g.micro,816.48
13 x cache.t2.small,823.6799999999998
13 x cache.t3.small,823.6799999999998
26 x cache.t2.micro,823.6799999999998
26 x cache.t3.micro,823.6799999999998
7 x cache.t4g.medium,846.7200000000001
14 x cache.t4g.small,846.7200000000001
28 x cache.t4g.micro,846.7200000000001
1 x cache.m6g.2xlarge,853.92
2 x cache.m6g.xlarge,855.36
27 x cache.t2.micro,855.36
27 x cache.t3.micro,855.36
4 x cache.m6g.large,858.2399999999999
3 x cache.r5.xlarge,864.0000000000001
6 x cache.r5.large,872.6400000000001
29 x cache.t4g.micro,876.96
7 x cache.t3.medium,887.04
7 x cache.t2.medium,887.04
14 x cache.t2.small,887.04
14 x cache.t3.small,887.04
28 x cache.t2.micro,887.04
28 x cache.t3.micro,887.04
3 x cache.r6g.large,889.9200000000001
15 x cache.t4g.small,907.2
30 x cache.t4g.micro,907.2
9 x cache.m5.large,907.2000000000002
29 x cache.t2.micro,918.72
29 x cache.t3.micro,918.72
31 x cache.t4g.micro,937.44
15 x cache.t2.small,950.3999999999999
15 x cache.t3.small,950.3999999999999
30 x cache.t2.micro,950.3999999999999
30 x cache.t3.micro,950.3999999999999
8 x cache.t4g.medium,967.6800000000001
16 x cache.t4g.small,967.6800000000001
32 x cache.t4g.micro,967.6800000000001
31 x cache.t2.micro,982.0799999999999
31 x cache.t3.micro,982.0799999999999
33 x cache.t4g.micro,997.9200000000001
5 x cache.m5.xlarge,1000.8
10 x cache.m5.large,1008.0
8 x cache.t3.medium,1013.76
8 x cache.t2.medium,1013.76
16 x cache.t2.small,1013.76
16 x cache.t3.small,1013.76
32 x cache.t2.micro,1013.76
32 x cache.t3.micro,1013.76
7 x cache.r5.large,1018.0800000000002
17 x cache.t4g.small,1028.16
34 x cache.t4g.micro,1028.16
3 x cache.r5.large,1041.1200000000001
2 x cache.m4.xlarge,1045.44
2 x cache.m5.xlarge,1045.44
33 x cache.t2.micro,1045.44
33 x cache.t3.micro,1045.44
1 x cache.m5.2xlarge,1046.88
1 x cache.m4.2xlarge,1046.88
4 x cache.m5.large,1048.3200000000002
4 x cache.m4.large,1048.3200000000002
35 x cache.t4g.micro,1058.4
5 x cache.m6g.large,1072.8
17 x cache.t2.small,1077.12
17 x cache.t3.small,1077.12
34 x cache.t2.micro,1077.12
34 x cache.t3.micro,1077.12
9 x cache.t4g.medium,1088.6399999999999
18 x cache.t4g.small,1088.6399999999999
36 x cache.t4g.micro,1088.6399999999999
3 x cache.r4.large,1097.28
35 x cache.t2.micro,1108.7999999999997
35 x cache.t3.micro,1108.7999999999997
11 x cache.m5.large,1108.8
37 x cache.t4g.micro,1118.8799999999999
1 x cache.r6gd.xlarge,1124.6399999999999
9 x cache.t3.medium,1140.48
9 x cache.t2.medium,1140.48
18 x cache.t2.small,1140.48
18 x cache.t3.small,1140.48
36 x cache.t2.micro,1140.48
36 x cache.t3.micro,1140.48
19 x cache.t4g.small,1149.1200000000001
38 x cache.t4g.micro,1149.1200000000001
4 x cache.r5.xlarge,1152.0000000000002
1 x cache.r5.4xlarge,1153.44
2 x cache.r5.2xlarge,1154.88
8 x cache.r5.large,1163.5200000000002
37 x cache.t2.micro,1172.1599999999999
37 x cache.t3.micro,1172.1599999999999
39 x cache.t4g.micro,1179.3600000000001
1 x cache.r6g.2xlarge,1182.24
2 x cache.r6g.xlarge,1183.6799999999998
4 x cache.r6g.large,1186.56
6 x cache.m5.xlarge,1200.96
19 x cache.t2.small,1203.84
19 x cache.t3.small,1203.84
38 x cache.t2.micro,1203.84
38 x cache.t3.micro,1203.84
3 x cache.m5.2xlarge,1205.28
10 x cache.t4g.medium,1209.6000000000001
12 x cache.m5.large,1209.6000000000001
20 x cache.t4g.small,1209.6000000000001
40 x cache.t4g.micro,1209.6000000000001
39 x cache.t2.micro,1235.52
39 x cache.t3.micro,1235.52
41 x cache.t4g.micro,1239.8400000000001
10 x cache.t3.medium,1267.1999999999998
10 x cache.t2.medium,1267.1999999999998
20 x cache.t2.small,1267.1999999999998
20 x cache.t3.small,1267.1999999999998
40 x cache.t2.micro,1267.1999999999998
40 x cache.t3.micro,1267.1999999999998
21 x cache.t4g.small,1270.08
42 x cache.t4g.micro,1270.08
3 x cache.m6g.xlarge,1283.04
6 x cache.m6g.large,1287.3599999999997
41 x cache.t2.micro,1298.8799999999997
41 x cache.t3.micro,1298.8799999999997
43 x cache.t4g.micro,1300.32
9 x cache.r5.large,1308.96
5 x cache.m5.large,1310.3999999999999
5 x cache.m4.large,1310.3999999999999
13 x cache.m5.large,1310.4
21 x cache.t2.small,1330.56
21 x cache.t3.small,1330.56
42 x cache.t2.micro,1330.56
42 x cache.t3.micro,1330.56
11 x cache.t4g.medium,1330.5600000000002
22 x cache.t4g.small,1330.5600000000002
44 x cache.t4g.micro,1330.5600000000002
45 x cache.t4g.micro,1360.8
43 x cache.t2.micro,1362.24
43 x cache.t3.micro,1362.24
2 x cache.r5.xlarge,1382.3999999999999
1 x cache.r5.2xlarge,1383.84
4 x cache.r5.large,1388.1599999999999
23 x cache.t4g.small,1391.04
46 x cache.t4g.micro,1391.04
11 x cache.t3.medium,1393.92
11 x cache.t2.medium,1393.92
22 x cache.t2.small,1393.92
22 x cache.t3.small,1393.92
44 x cache.t2.micro,1393.92
44 x cache.t3.micro,1393.92
7 x cache.m5.xlarge,1401.1200000000003
14 x cache.m5.large,1411.2000000000003
47 x cache.t4g.micro,1421.2800000000002
45 x cache.t2.micro,1425.6
45 x cache.t3.micro,1425.6
5 x cache.r5.xlarge,1440.0
12 x cache.t4g.medium,1451.52
24 x cache.t4g.small,1451.52
48 x cache.t4g.micro,1451.52
10 x cache.r5.large,1454.4
23 x cache.t2.small,1457.28
23 x cache.t3.small,1457.28
46 x cache.t2.micro,1457.28
46 x cache.t3.micro,1457.28
1 x cache.r4.2xlarge,1460.1599999999999
2 x cache.r4.xlarge,1460.1599999999999
4 x cache.r4.large,1463.04
49 x cache.t4g.micro,1481.7600000000002
5 x cache.r6g.large,1483.1999999999998
47 x cache.t2.micro,1488.96
47 x cache.t3.micro,1488.96
7 x cache.m6g.large,1501.9199999999998
15 x cache.m5.large,1512.0000000000002
25 x cache.t4g.small,1512.0000000000002
50 x cache.t4g.micro,1512.0000000000002
12 x cache.t3.medium,1520.64
12 x cache.t2.medium,1520.64
24 x cache.t2.small,1520.64
24 x cache.t3.small,1520.64
48 x cache.t2.micro,1520.64
48 x cache.t3.micro,1520.64
51 x cache.t4g.micro,1542.2400000000002
49 x cache.t2.micro,1552.3199999999997
49 x cache.t3.micro,1552.3199999999997
3 x cache.m4.xlarge,1568.1599999999999
